route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
101,L,101-I-L-B02,Cerrillos,0,101I
101,L,101-I-L-B03,Cerrillos,0,101I
101,L,101-I-L-B04,Cerrillos,0,101I
101,L,101-I-L-B05,Cerrillos,0,101I
101,L,101-I-L-B06,Cerrillos,0,101I
101,L,101-I-L-B07,Cerrillos,0,101I
101,L,101-I-L-B08,Cerrillos,0,101I
101,L,101-I-L-B09,Cerrillos,0,101I
101,L,101-I-L-B10,Cerrillos,0,101I
101,L,101-I-L-B11,Cerrillos,0,101I
101,S,101-I-S-B14,Cerrillos,0,101I
101,S,101-I-S-B15,Cerrillos,0,101I
101,S,101-I-S-B16,Cerrillos,0,101I
101,S,101-I-S-B17,Cerrillos,0,101I
101,S,101-I-S-B18,Cerrillos,0,101I
101,S,101-I-S-B19,Cerrillos,0,101I
101,S,101-I-S-B20,Cerrillos,0,101I
101,D,101-I-D-B23,Cerrillos,0,101I
101,D,101-I-D-B24,Cerrillos,0,101I
101,D,101-I-D-B25,Cerrillos,0,101I
101,D,101-I-D-B26,Cerrillos,0,101I
101,D,101-I-D-B27,Cerrillos,0,101I
101,D,101-I-D-B28,Cerrillos,0,101I
101,L,101-R-L-B01,Recoleta,1,101R
101,L,101-R-L-B02,Recoleta,1,101R
101,L,101-R-L-B03,Recoleta,1,101R
101,L,101-R-L-B04,Recoleta,1,101R
101,L,101-R-L-B05,Recoleta,1,101R
101,L,101-R-L-B06,Recoleta,1,101R
101,L,101-R-L-B07,Recoleta,1,101R
101,L,101-R-L-B08,Recoleta,1,101R
101,L,101-R-L-B09,Recoleta,1,101R
101,L,101-R-L-B10,Recoleta,1,101R
101,L,101-R-L-B11,Recoleta,1,101R
101,S,101-R-S-B14,Recoleta,1,101R
101,S,101-R-S-B15,Recoleta,1,101R
101,S,101-R-S-B16,Recoleta,1,101R
101,S,101-R-S-B17,Recoleta,1,101R
101,S,101-R-S-B18,Recoleta,1,101R
101,S,101-R-S-B19,Recoleta,1,101R
101,S,101-R-S-B20,Recoleta,1,101R
101,D,101-R-D-B23,Recoleta,1,101R
101,D,101-R-D-B24,Recoleta,1,101R
101,D,101-R-D-B25,Recoleta,1,101R
101,D,101-R-D-B26,Recoleta,1,101R
101,D,101-R-D-B27,Recoleta,1,101R
