RBD,NOM_RBD,COD_COM_RBD,COD_DEPE2,LATITUD,LONGITUD,MAT_TOTAL,ESTADO_ESTAB,ENS_01
396,INSTITUTO COMERCIAL ALEJANDRO RIVERA DÍAZ,3101,5,-27.363791,-70.334877,685,1,410
397,LICEO TÉCNICO PROFESIONAL EDWIN LATORRE RIVERO,3101,5,-27.3730793,-70.32965088,113,1,165
399,LICEO JOSÉ ANTONIO CARVAJAL,3101,5,-27.37435,-70.328217,920,1,310
400,LICEO BICENTENARIO MERCEDES FRITIS MACKENNEY,3101,5,-27.369619,-70.325371,1019,1,110
401,ESCUELA BERNARDO O HIGGINS,3101,5,-27.362459,-70.329453,881,1,10
403,ESCUELA LAURA ROBLES SILVA,3101,5,-27.373711,-70.306473,719,1,10
404,ESCUELA EDUCACIÓN DIFERENCIAL MARÍA LUZ LANZA PIZARRO,3101,5,-27.37200356,-70.32041168,144,1,212
405,ESCUELA LOS ESTANDARTES,3101,5,-27.36982,-70.313591,662,1,10
406,ESCUELA VICENTE SEPÚLVEDA ROJO,3101,5,-27.35685,-70.322128,847,1,10
407,ESCUELA JESÚS FERNÁNDEZ HIDALGO,3101,5,-27.374941,-70.337769,479,1,10
408,ESCUELA PEDRO LEÓN GALLO,3101,5,-27.361481,-70.324944,1070,1,10
410,ESCUELA JOSÉ MANSO DE VELASCO,3101,5,-27.36322,-70.318581,591,1,10
411,ESCUELA LAS CANTERAS,3101,5,-27.37129,-70.320618,639,1,10
413,ESCUELA LAS BRISAS,3101,5,-27.35573196,-70.3310318,259,1,10
415,LICEO DE MÚSICA DE COPIAPÓ HUGO GARRIDO GAETE,3101,5,-27.37387848,-70.32836151,1025,1,110
416,ESCUELA ABRAHAM SEPÚLVEDA PIZARRO,3101,5,-27.35737,-70.347443,732,1,10
417,COLEGIO BUEN PASTOR,3101,5,-27.371309,-70.328178,807,1,10
418,ESCUELA ISABEL PEÑA MORALES,3101,5,-27.3839,-70.307793,1060,1,10
419,ESCUELA HERNÁN MÁRQUEZ HUERTA,3101,5,-27.41272,-70.273323,682,1,10
420,LICEO FERNANDO ARIZTÍA RUIZ,3101,5,-27.40682,-70.269547,1593,1,10
421,ESCUELA BRUNO ZAVALA FREDES,3101,5,-27.380211,-70.322678,1095,1,10
423,ESCUELA SAN PEDRO,3101,5,-27.324381,-70.538589,339,1,10
427,ESCUELA LUIS CRUZ MARTÍNEZ,3101,5,-27.39292,-70.298683,412,1,10
429,LICEO CATÓLICO ATACAMA,3101,2,-27.366802,-70.3368,2136,1,10
430,LICEO POLITÉCNICO BELÉN,3101,2,-27.361509,-70.333351,1022,1,10
431,LICEO SAGRADO CORAZÓN,3101,2,-27.366791,-70.337898,918,1,10
433,COLEGIO ADVENTISTA DE COPIAPÓ,3101,2,-27.369869,-70.32711,1041,1,110
434,ESCUELA SAN VICENTE DE PAUL,3101,2,-27.367359,-70.315086,859,1,10
437,ESCUELA TÉCNICO PROFESIONAL,3101,2,-27.36244,-70.345718,1236,1,310
438,LICEO MANUEL BLANCO ENCALADA,3102,5,-27.07362,-70.826851,507,1,310
439,ESCUELA TOTORAL,3101,5,-27.367649,-70.312523,1,1,110
440,COLEGIO PARROQUIAL PADRE NEGRO,3102,2,-27.0695,-70.810699,1153,1,10
441,ESCUELA DE CONCENTRACIÓN,3103,5,-27.477699,-70.253197,292,1,10
442,ESCUELA VICTOR MANUEL SÁNCHEZ CABAÑAS,3103,5,-27.483,-70.267448,481,1,10
444,ESCUELA LUIS URIBE ORREGO,3103,5,-27.49749,-70.266144,392,1,10
445,ESCUELA PAUL HARRIS,3103,5,-27.50318,-70.264992,43,1,10
446,ESCUELA AMOLANAS,3103,5,-27.97069,-70.001984,33,1,10
447,ESCUELA SAN ANTONIO,3103,5,-27.878361,-70.054153,5,1,110
8485,LICEO INSTITUTO NACIONAL,13101,1,-33.44487089999999,-70.65030401,4023,1,110
8487,LICEO JAVIERA CARRERA,13101,1,-33.43921052,-70.65729306,2490,1,110
8488,LICEO N° 4 BICENTENARIO ISAURA DINATOR,13101,1,-33.44560481,-70.67929193,351,1,110
